iter	RMSE
474	3.781473759
475	3.78008335
476	3.776739386
477	3.774741712
478	3.772258347
479	3.768897751
480	3.764192905
481	3.762527164
482	3.758282629
483	3.754806228
484	3.75199503
485	3.751900509
486	3.749899099
487	3.748105047
488	3.743519529
489	3.73965449
490	3.738080844
491	3.738037872
492	3.73499344
493	3.734003424
494	3.730409168
495	3.723844923
496	3.723351088
497	3.72139275
498	3.716108078
499	3.711903528
500	3.707854947
501	3.707559056
502	3.703306433
503	3.701166397
504	3.695290583
505	3.692128355
506	3.691803397
507	3.688019397
508	3.681829443
509	3.679998344
510	3.677770624
511	3.675261923
512	3.674832504
513	3.671907475
514	3.669650951
515	3.665533616
516	3.663093212
517	3.660381679
518	3.656583706
519	3.654178911
520	3.648310314
521	3.643774617
522	3.640919544
523	3.635104121
524	3.631929147
525	3.629082429
526	3.628484687
527	3.627055268
528	3.623652844
529	3.620524444
530	3.61876076
531	3.618439589
532	3.616205066
533	3.615279593
534	3.614705936
535	3.611050812
536	3.610119577
537	3.608567281
538	3.6067269
539	3.604108984
540	3.603715524
541	3.601134676
542	3.599571844
543	3.597890954
544	3.595296576
545	3.592255781
546	3.592188091
547	3.586067792
548	3.584225323
549	3.580797894
550	3.580634526
551	3.578606245
552	3.578266199
553	3.576463378
554	3.570425138
555	3.567843732
556	3.567231994
557	3.565817934
558	3.562040924
559	3.560963515
560	3.560115673
561	3.559776241
562	3.557208592
563	3.554981231
564	3.550273966
565	3.544233364
566	3.543840659
567	3.541476434
568	3.537215504
569	3.534464114
570	3.532784471
571	3.532526411
572	3.530766488
573	3.527192432
574	3.521399736
575	3.518030294
576	3.516814627
577	3.515615397
578	3.511589887
579	3.511115904
580	3.506802921
581	3.502646027
582	3.500580113
583	3.498990545
584	3.493822003
585	3.49058884
586	3.489213793
587	3.486825194
588	3.48393878
589	3.480809017
590	3.478325341
591	3.474508185
592	3.472823131
593	3.469164525
594	3.466608185
595	3.465132301
596	3.460510438
597	3.45962408
598	3.45511309
599	3.45064585
600	3.449670934
601	3.447063892
602	3.444982208
603	3.442478825
604	3.438698527
605	3.433695226
606	3.432333966
607	3.43030589
608	3.4290413
609	3.428843935
610	3.42713528
611	3.424511012
612	3.42247228
613	3.422119742
614	3.419633026
615	3.417316725
616	3.416971937
617	3.414747763
618	3.414400923
619	3.413573658
620	3.411850517
621	3.40942925
622	3.405595512
623	3.403211338
624	3.399519229
625	3.395646798
626	3.394911598
627	3.393762978
628	3.392340617
629	3.388389535
630	3.38434558
631	3.38413719
632	3.379757095
633	3.378659013
634	3.377829349
635	3.376953061
636	3.375957413
637	3.373840649
638	3.370215618
639	3.368804051
640	3.365041647
641	3.36174393
642	3.358402188
643	3.357115016
644	3.356926153
645	3.353833653
646	3.352790177
647	3.350027423
648	3.346530227
649	3.34543883
650	3.343230324
651	3.34233731
652	3.339952191
653	3.334985893
654	3.333796176
655	3.329103891
656	3.327543614
657	3.323977064
658	3.318732193
659	3.316091592
660	3.314209865
661	3.309848459
662	3.308081517
663	3.307921436
664	3.305931696
665	3.303997516
666	3.298957023
667	3.297454484
668	3.296308441
669	3.295192552
670	3.29304474
671	3.289341114
672	3.285642283
673	3.283294998
674	3.281898001
675	3.277662082
676	3.272936073
677	3.271474632
678	3.271163363
679	3.267769224
680	3.267100462
681	3.26189068
682	3.259722599
683	3.257539192
684	3.253999425
685	3.253356233
686	3.251471032
687	3.251197922
688	3.249186309
689	3.249027871
690	3.246453369
691	3.244573329
692	3.243297741
693	3.242308672
694	3.241886424
695	3.240602707
696	3.23962905
697	3.236433275
698	3.235350729
699	3.235026772
700	3.230073673
701	3.228175182
702	3.226474063
703	3.225003398
704	3.222871931
705	3.219658629
706	3.214766043
707	3.212918383
708	3.211655706
709	3.210757089
710	3.207456911
711	3.206486407
712	3.202852491
713	3.199027062
714	3.195497108
715	3.191913399
716	3.188802506
717	3.186617615
718	3.184085862
719	3.182668053
720	3.179386903
721	3.178640705
722	3.174739453
723	3.17183215
724	3.171317267
725	3.17117373
726	3.169328843
727	3.167930602
728	3.163139119
729	3.161013037
730	3.158754787
731	3.155135979
732	3.150857384
733	3.150782401
734	3.148616167
735	3.146975345
736	3.143697807
737	3.142492283
738	3.140473529
739	3.139095107
740	3.13735461
741	3.133929679
742	3.131950815
743	3.130788585
744	3.130133711
745	3.128905732
746	3.127498948
747	3.127035934
748	3.125413066
749	3.120515274
750	3.11716818
751	3.112807788
752	3.111696757
753	3.11139716
754	3.110968995
755	3.109114369
756	3.107474174
757	3.105056172
758	3.100982914
759	3.09991289
760	3.099577817
761	3.096849762
762	3.096406587
763	3.096131719
764	3.096066182
765	3.095991121
766	3.095121725
767	3.090809145
768	3.086295456
769	3.084426766
770	3.082857492
771	3.081901527
772	3.081330521
773	3.079002315
774	3.07706959
775	3.074350549
776	3.074035384
777	3.073160114
778	3.073091444
779	3.072325303
780	3.069861301
781	3.06889035
782	3.067370995
783	3.064701163
784	3.061167836
785	3.060600816
786	3.058933368
787	3.058568428
788	3.055838906
789	3.054437017
790	3.053565987
791	3.052228581
792	3.050545991
793	3.048182477
794	3.046780697
795	3.044625881
796	3.044156248
797	3.043320461
798	3.042017444
799	3.041179897
800	3.039423515
801	3.038958778
802	3.036156311
803	3.033223038
804	3.031531527
805	3.028995954
806	3.024580429
807	3.021251434
808	3.020506455
809	3.017691459
810	3.017063457
811	3.015772454
812	3.015188841
813	3.013335388
814	3.010481399
815	3.006911307
816	3.006000815
817	3.004533524
818	3.001728704
819	3.000127815
820	2.99907138
821	2.997994181
822	2.996596325
823	2.99292887
824	2.992366407
825	2.991456361
826	2.988691531
827	2.987401516
828	2.985114676
829	2.983225113
830	2.979935953
831	2.979191279
832	2.975766695
833	2.973616854
834	2.973261893
835	2.971148901
836	2.969690726
837	2.967028012
838	2.966153725
839	2.962563036
840	2.960545658
841	2.959449042
842	2.956003342
843	2.953056133
844	2.952102731
845	2.951976152
846	2.946991342
847	2.944514847
848	2.944066744
849	2.94310432
850	2.940259842
851	2.936997851
852	2.936925499
853	2.933877571
854	2.931628446
855	2.929954944
856	2.926875996
857	2.924254816
858	2.923410411
859	2.919382972
860	2.916748822
861	2.915508297
862	2.912676603
863	2.908454282
864	2.906929099
865	2.904789227
866	2.903060613
867	2.902234621
868	2.902136671
869	2.899790848
870	2.899645503
871	2.897489397
872	2.896087321
873	2.895862878
874	2.893219931
875	2.891812083
876	2.89173406
877	2.890714657
878	2.890007625
879	2.888491027
880	2.886030195
881	2.885398495
882	2.882466833
883	2.881333312
884	2.878898422
885	2.87655941
886	2.876034218
887	2.875762491
888	2.875255036
889	2.873927429
890	2.873070275
891	2.872119684
892	2.871688651
893	2.871466067
894	2.868464435
895	2.865307889
896	2.864423613
897	2.863665883
898	2.862490359
899	2.861713509
900	2.860248755
901	2.856928694
902	2.856882699
903	2.8566719
904	2.855642496
905	2.854748013
906	2.853970438
907	2.852962486
908	2.850052122
909	2.849339487
910	2.846097634
911	2.843582055
912	2.842007077
913	2.840750098
914	2.839509868
915	2.839087838
916	2.83791349
917	2.836414558
918	2.836174023
919	2.835428909
920	2.833650762
921	2.833600087
922	2.831717845
923	2.829971824
924	2.829852424
925	2.828190971
926	2.82708774
927	2.824055594
928	2.822798276
929	2.822471039
930	2.820049927
931	2.819733577
932	2.816899283
933	2.81636311
934	2.815562771
935	2.81516684
936	2.81271984
937	2.811290357
938	2.80750743
939	2.804432779
940	2.804080796
941	2.803790262
942	2.801661295
943	2.800842823
944	2.798258123
945	2.796774261
946	2.793019651
947	2.792270388
948	2.79174558
949	2.790466358
950	2.789486182
951	2.789092196
952	2.788059341
953	2.783775024
954	2.781691924
955	2.780080527
956	2.777005888
957	2.776191723
958	2.775695343
959	2.774165079
960	2.773054811
961	2.772504367
962	2.770380378
963	2.769253546
964	2.768181049
965	2.767690441
966	2.766364363
967	2.764898937
968	2.761430438
969	2.759101309
970	2.757935877
971	2.757113673
972	2.756556057
973	2.756026076
974	2.755300631
975	2.753996149
976	2.750285142
977	2.745646968
978	2.743005325
979	2.741727637
980	2.740646039
981	2.738534973
982	2.736478916
983	2.735190377
984	2.73326986
985	2.732823681
986	2.730815338
987	2.728032696
988	2.725177621
989	2.723723977
990	2.72264389
991	2.721835
992	2.720607483
993	2.719605091
994	2.719151197
995	2.718545189
996	2.715130839
997	2.714982358
998	2.714304296
999	2.713373695
